#Transcript position	Transcript coverage profile
0.0	0.1731323960134252
1.0	0.19575760864108221
2.0	0.16511961186474636
3.0	0.1817947089666802
4.0	0.21696377356353894
5.0	0.14186040316782694
6.0	0.12567435460550325
7.0	0.1164491334706013
8.0	0.1159322293336086
9.0	0.10408243573981092
10.0	0.12237723230405079
11.0	0.10939956391379572
12.0	0.09106028156756611
13.0	0.0951239680696851
14.0	0.14070220865722685
15.0	0.16924140374508653
16.0	0.19089725896451956
17.0	0.13185332850374681
18.0	0.08654356803178082
19.0	0.15913968222607214
20.0	0.09508571564611755
21.0	0.09611791727527215
22.0	0.14441274278515862
23.0	0.19153251909438976
24.0	0.1401092241155756
25.0	0.12336310569165868
26.0	0.07605661819986483
27.0	0.08670321116226508
28.0	0.06720763482430706
29.0	0.04926109725624272
30.0	0.06747964349798567
31.0	0.06695943946523343
32.0	0.08184829480113816
33.0	0.08107852024244967
34.0	0.08367112487231718
35.0	0.0710411889179595
36.0	0.05905491625885383
37.0	0.06447770279533833
38.0	0.03787168743990557
39.0	0.09665892022863203
40.0	0.09790834785916665
41.0	0.08347952331784561
42.0	0.1076090288203663
43.0	0.10200207899568357
44.0	0.05919799799926404
45.0	0.06875627600909832
46.0	0.14141739654910093
47.0	0.10485249420963871
48.0	0.048445625695990695
49.0	0.040182573426246815
50.0	0.059754385670344516
51.0	0.04602112022680912
52.0	0.017144105986838933
53.0	0.015013976289309217
54.0	0.03804240920140039
55.0	0.040814725582379606
56.0	0.06628756782984255
57.0	0.06319484712194665
58.0	0.01151182046753704
59.0	0.03301375789389676
60.0	0.06682556586864297
61.0	0.06618303386711114
62.0	0.0561718361762228
63.0	0.04018120859900991
64.0	0.03685656284646706
65.0	0.03508212785794686
66.0	0.037805628628239454
67.0	0.039151424891955895
68.0	0.05660995416290609
69.0	0.0917878271797934
70.0	0.04050306507452451
71.0	0.031824040547326
72.0	0.02882667696352355
73.0	0.06588767426217766
74.0	0.1098195661976176
75.0	0.17097528153405048
76.0	0.14199853933116666
77.0	0.12939230172218427
78.0	0.11029991939601617
79.0	0.11285270900108056
80.0	0.07833714288455101
81.0	0.062144392113458895
82.0	0.0905165471174702
83.0	0.1318142002049649
84.0	0.10915981353839944
85.0	0.09904441923542878
86.0	0.07843178852183386
87.0	0.07710758473514781
88.0	0.08726447010366198
89.0	0.07011175156925958
90.0	0.05216573630036202
91.0	0.09233548644471543
92.0	0.10361363292567138
93.0	0.09492654988918992
94.0	0.07645626714135814
95.0	0.12085251007721587
96.0	0.15479848835632523
97.0	0.18875543554985297
98.0	0.21723132464859793
99.0	0.10610174870993087
